name,recclass,mass (g),fall,date,year,reclat,reclong
N'Goureyma,Iron ungrouped,37500,Fell,1/1/1900,1900,13.85,-4.38333
Cedar (Texas),H4,26000,Found,1/1/1900,1900,29.82806,-96.90861
La Porte,Iron IIIAB,14540,Found,1/1/1900,1900,41.6,-86.71667
Alexandrovsky,H4,9251,Fell,1/1/1900,1900,50.95,31.81667
Ofehértó,L6,3750,Fell,1/1/1900,1900,47.88333,22.03333
Rhine Villa,Iron IIIE,3325,Found,1/1/1900,1900,-34.66667,139.28333
Felix,CO3.3,3200,Fell,1/1/1900,1900,32.53333,-87.16667
Kansas University,L6,2800,Found,1/1/1900,1900,,
Boogaldi,Iron IVA,2000,Found,1/1/1900,1900,-31.15,149.11667
Leonovka,L6,700,Fell,1/1/1900,1900,52.26667,32.85
Sterling,Pallasite,679.5,Found,1/1/1900,1900,40.6,-103.18333
Forsbach,H6,240,Fell,1/1/1900,1900,50.95,7.31667
Emmaville,Eucrite-mmict,127,Fell,1/1/1900,1900,-29.46667,151.61667
Ovambo,L6,121.5,Fell,1/1/1900,1900,-18,16
Karagai,L6,115,Found,1/1/1900,1900,51.11667,57.91667
Selcany,Iron,20,Found,1/1/1900,1900,49.75,14.41667
Norin-Shibir,Iron ungrouped,3.5,Found,1/1/1900,1900,51.85,107.91667
Phillips County (stone),L6,57900,Fell,1/1/1901,1901,40,-99.25
Saline,H5,30800,Found,1/1/1901,1901,39.4,-100.4
Ashfork,Iron IAB-MG,27000,Found,1/1/1901,1901,35.25,-112.5
Hvittis,EL6,14000,Fell,1/1/1901,1901,61.18333,22.68333
Sindhri,H5,8400,Fell,1/1/1901,1901,26.21667,69.55
Hendersonville,L5,6000,Found,1/1/1901,1901,35.31667,-81.46667
Paulding County,Iron,725,Found,1/1/1901,1901,34,-84.8
Chervettaz,L5,705,Fell,1/1/1901,1901,46.55,6.81667
Gay Gulch,Iron IAB-sHH,483,Found,1/1/1901,1901,63.91667,-139.33333
Jemlapur,L6,450,Fell,1/1/1901,1901,,
Willamette,Iron IIIAB,15500000,Found,1/1/1902,1902,45.36667,-122.58333
Bath Furnace,L6,86000,Fell,1/1/1902,1902,38.25,-83.75
Finmarken,Pallasite PMG,78300,Found,1/1/1902,1902,70,24
